Table 1
שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2024,סך הכל ישראלים 2024,יהודים ואחרים,ערבים,זרים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,שם יישוב באנגלית,שם אשכול רשויות מקומיות,סמל רשות מקומית,שם רשות מקומית,סמל סוג רשות מקומית
קרני שומרון,3640,QARNE SHOMERON,7,אזור יהודה ושומרון,73,טול כרם,,99,מועצה מקומית,145,1,"10,541","10,446","10,437",9,95,1978,170,,208856675109,317,717,15004488,2024,Qarne Shomeron,אשכול יהודה ושומרון,3640,קרני שומרון,2
קשת,4006,QESHET,2,הצפון,29,גולן,292,71,מועצה אזורית גולן,,1,979,932,932,,47,1974,320,2,275919765142,702,224,10004579,2024,Qeshet,אשכול רשויות גליל מזרחי,5571,גולן,3
ראמה,543,RAME,2,הצפון,24,עכו,242,99,מועצה מקומית,,2,"8,406","8,370",11,"8,359",36,,280,,234667760389,385,260,10004465,2024,Rame,אשכול רשויות בית הכרם הגלילי,543,ראמה,2
ראס אל-עין,1334,RAS AL-EIN,2,הצפון,24,עכו,242,56,מועצה אזורית משגב,,2,473,473,,473,,,450,,235177757726,223,205,10004465,2024,Ras Al-Ein,אשכול רשויות בית הכרם הגלילי,5556,משגב,3
ראס עלי,990,RAS ALI,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,222,2,795,794,,794,1,,450,,214796741961,63,301,10004207,2024,Ras Ali,אשכול רשויות המפרץ,5512,זבולון,3
ראש העין,2640,ROSH HAAYIN,4,המרכז,42,פתח תקווה,422,0,עירייה,142,1,"79,023","78,008","77,925",83,"1,015",1950,150,,196256666822,83,418,10002168,2024,Rosh HaAyin,ללא שיוך לאשכול,2640,ראש העין,1
ראש פינה,26,ROSH PINNA,2,הצפון,21,צפת,213,99,מועצה מקומית,,1,"3,308","3,190","3,125",65,118,1882,190,,251064763728,307,259,10004540,2024,Rosh Pinna,אשכול רשויות גליל מזרחי,26,ראש פינה,2
ראש צורים,3602,ROSH ZURIM,7,אזור יהודה ושומרון,76,בית לחם,,76,מועצה אזורית גוש עציון,445,1,"1,157","1,149","1,149",,8,1969,330,3,211933619501,918,714,15000586,2024,Rosh Zurim,ללא שיוך לאשכול,5576,גוש עציון,3
ראשון לציון,8300,RISHON LEZIYYON,4,המרכז,44,רחובות,442,0,עירייה,133,1,"259,275","253,330","252,864",466,"5,945",1882,130,,181202652951,41,413,10002207,2024,Rishon LeZiyyon,ללא שיוך לאשכול,8300,ראשון לציון,1
רבבה,3795,REVAVA,7,אזור יהודה ושומרון,72,שכם,,72,מועצה אזורית שומרון,145,1,"3,202","3,197","3,197",,5,1991,190,11,212275669485,421,710,15004488,2024,Revava,אשכול יהודה ושומרון,5572,שומרון,3
רבדים,564,REVADIM,6,הדרום,61,אשקלון,611,35,מועצה אזורית יואב,,1,915,826,826,,89,1948,330,15,182651631303,79,632,10001821,2024,Revadim,אשכול רשויות שורק דרומי,5535,יואב,3
רביבים,354,REVIVIM,6,הדרום,62,באר שבע,626,48,מועצה אזורית רמת נגב,,1,867,821,817,4,46,1943,330,15,173381550414,283,620,15001466,2024,Revivim,אשכול רשויות נגב מזרחי,5548,רמת נגב,3
רביד,1225,RAVID,2,הצפון,22,כנרת,222,6,מועצה אזורית עמק הירדן,,1,177,177,177,,,1981,330,15,243786750703,164,214,10004552,2024,Ravid,אשכול רשויות הכנרת והעמקים,5506,עמק הירדן,3
רגבה,390,REGBA,2,הצפון,24,עכו,245,4,מועצה אזורית מטה אשר,241,1,"1,057","1,038","1,038",,19,1946,320,15,209657764756,17,201,10004302,2024,Regba,אשכול רשויות גליל מערבי,5504,מטה אשר,3
רגבים,444,REGAVIM,3,חיפה,32,חדרה,323,14,מועצה אזורית מנשה,,1,670,656,656,,14,1948,330,15,203490714418,99,351,10004233,2024,Regavim,אשכול רשויות מישור החוף,5514,מנשה,3
רהט,1161,RAHAT,6,הדרום,62,באר שבע,623,0,עירייה,341,2,"77,996","77,895",205,"77,690",101,,250,,176674588820,222,618,10001946,2024,Rahat,אשכול רשויות נגב מערבי,1161,רהט,1
רווחה,2051,REWAHA,6,הדרום,61,אשקלון,612,34,מועצה אזורית שפיר,,1,708,600,600,,108,1953,310,2,174776617537,84,631,10001813,2024,Rewaha,ללא שיוך לאשכול,5534,שפיר,3
רוויה,2016,REWAYA,2,הצפון,23,יזרעאל,231,7,מועצה אזורית עמק המעיינות,,1,478,407,404,3,71,1952,310,2,244748706112,-109,202,10004568,2024,Rewaya,אשכול רשויות הכנרת והעמקים,5507,עמק המעיינות,3
רוח מדבר,1341,RUAH MIDBAR,6,הדרום,62,באר שבע,626,48,מועצה אזורית רמת נגב,,1,80,80,73,7,,,340,,174468543498,329,620,15001466,2024,Ruah Midbar,אשכול רשויות נגב מזרחי,5548,רמת נגב,3
רוחמה,362,RUHAMA,6,הדרום,61,אשקלון,614,37,מועצה אזורית שער הנגב,,1,770,738,736,2,32,1944,330,15,172114600761,166,651,10001829,2024,Ruhama,אשכול רשויות נגב מערבי,5537,שער הנגב,3
רומאנה,539,RUMMANE,2,הצפון,25,יזרעאל,237,65,מועצה אזורית אל-בטוף,,2,"1,446","1,419",,"1,419",27,,450,,229421743705,165,251,15002369,2024,Rummane,אשכול רשויות הכנרת והעמקים,5565,אל-בטוף,3
רומת הייב,997,RUMAT HEIB,2,הצפון,25,יזרעאל,237,65,מועצה אזורית אל-בטוף,,2,"2,626","2,626",1,"2,625",,,290,,228861742554,194,251,15002369,2024,Rumat Heib,אשכול רשויות הכנרת והעמקים,5565,אל-בטוף,3
רועי,3619,RO'I,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75,מועצה אזורית ערבות הירדן,,1,148,133,133,,15,1976,310,10,246301683806,28,712,10003299,2024,Ro'i,אשכול יהודה ושומרון,5575,ערבות הירדן,3
רותם,3782,ROTEM,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75,מועצה אזורית ערבות הירדן,,1,330,312,312,,18,1983,370,,249081693730,-66,712,10003299,2024,Rotem,אשכול יהודה ושומרון,5575,ערבות הירדן,3
רחוב,854,REHOV,2,הצפון,23,יזרעאל,231,7,מועצה אזורית עמק המעיינות,,1,612,499,499,,113,1951,310,2,246227706344,-122,202,10004568,2024,Rehov,אשכול רשויות הכנרת והעמקים,5507,עמק המעיינות,3
רחובות,8400,REHOVOT,4,המרכז,44,רחובות,441,0,עירייה,133,1,"155,050","151,373","150,777",596,"3,677",1890,140,,181940644376,51,414,10002241,2024,Rehovot,ללא שיוך לאשכול,8400,רחובות,1
רחלים,3822,REHELIM,7,אזור יהודה ושומרון,72,שכם,,72,מועצה אזורית שומרון,,1,"1,260","1,260","1,260",,,2013,370,11,224415667675,555,710,15004488,2024,Rehelim,אשכול יהודה ושומרון,5572,שומרון,3
ריחאנייה,540,REIHANIYYE,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,2,"1,188","1,173",2,"1,171",15,,450,,245886772731,674,209,10004528,2024,Reihaniyye,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
ריחן,3568,REHAN,7,אזור יהודה ושומרון,71,ג'נין,,72,מועצה אזורית שומרון,,1,523,523,523,,,1977,320,6,213042708238,363,710,15004488,2024,Rehan,אשכול יהודה ושומרון,5572,שומרון,3
ריינה,542,REINE,2,הצפון,25,יזרעאל,237,99,מועצה מקומית,,2,"20,654","20,638",22,"20,616",16,,260,,229505736267,317,257,10004426,2024,Reine,אשכול רשויות הגליל והעמקים,542,ריינה,2
רימונים,3565,RIMMONIM,7,אזור יהודה ושומרון,74,ראמאללה,,73,מועצה אזורית מטה בנימין,445,1,673,671,667,4,2,1977,370,10,232346648997,669,711,10003299,2024,Rimmonim,אשכול יהודה ושומרון,5573,מטה בנימין,3
רינתיה,616,RINNATYA,4,המרכז,42,פתח תקווה,422,25,מועצה אזורית חבל מודיעין,142,1,"1,235","1,202","1,202",,33,1949,310,1,193376661283,62,424,10002116,2024,Rinnatya,ללא שיוך לאשכול,5525,חבל מודיעין,3
רכסים,922,REKHASIM,3,חיפה,31,חיפה,311,99,מועצה מקומית,222,1,"15,087","15,019","15,019",,68,1957,170,,209795739685,85,355,10004207,2024,Rekhasim,אשכול רשויות המפרץ,922,רכסים,2
רם-און,1069,RAM-ON,2,הצפון,23,יזרעאל,234,8,מועצה אזורית הגלבוע,,1,890,850,850,,40,1960,310,1,224649714749,79,204,10004394,2024,Ram-On,אשכול רשויות הגליל והעמקים,5508,הגלבוע,3
רמות,4702,RAMOT,2,הצפון,29,גולן,293,71,מועצה אזורית גולן,,1,872,770,767,3,102,1970,310,1,262730750640,-9,224,10004579,2024,Ramot,אשכול רשויות גליל מזרחי,5571,גולן,3
רמות השבים,206,RAMOT HASHAVIM,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,131,1,"1,689","1,630","1,630",,59,1933,350,,189295674830,60,417,10002133,2024,Ramot HaShavim,אשכול רשויות השרון,5520,דרום השרון,3
רמות מאיר,735,RAMOT ME'IR,4,המרכז,43,רמלה,432,30,מועצה אזורית גזר,143,1,675,657,657,,18,1949,310,1,186500642382,82,426,10002241,2024,Ramot Me'ir,ללא שיוך לאשכול,5530,גזר,3
רמות מנשה,445,RAMOT MENASHE,2,הצפון,23,יזרעאל,236,13,מועצה אזורית מגידו,,1,"1,371","1,347","1,347",,24,1948,330,15,205703722582,181,254,10004411,2024,Ramot Menashe,אשכול רשויות הגליל והעמקים,5513,מגידו,3
רמות נפתלי,372,RAMOT NAFTALI,2,הצפון,21,צפת,212,55,מועצה אזורית מבואות החרמון,,1,515,481,481,,34,1945,310,1,252021778532,435,253,10004591,2024,Ramot Naftali,אשכול רשויות גליל מזרחי,5555,מבואות החרמון,3
רמלה,8500,RAMLA,4,המרכז,43,רמלה,432,0,עירייה,133,4,"86,052","83,872","62,249","21,623","2,180",1948,150,,187507648360,76,415,10002228,2024,Ramla,ללא שיוך לאשכול,8500,רמלה,1
רמת גן,8600,RAMAT GAN,5,תל אביב,52,תל אביב,512,0,עירייה,122,1,"172,242","167,521","166,322","1,199","4,721",1921,140,,183550664018,37,506,15003979,2024,Ramat Gan,ללא שיוך לאשכול,8600,רמת גן,1
רמת דוד,135,RAMAT DAWID,2,הצפון,23,יזרעאל,234,9,מועצה אזורית עמק יזרעאל,,1,716,708,708,,8,1926,330,15,219207731530,81,254,10004411,2024,Ramat Dawid,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
רמת הכובש,184,RAMAT HAKOVESH,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,141,1,"1,246","1,075","1,075",,171,1932,330,15,194335680447,61,417,10004769,2024,Ramat HaKovesh,אשכול רשויות השרון,5520,דרום השרון,3
רמת הנשיא טראמפ,4029,PRESIDENT TRUMP HEIGHTS,2,הצפון,29,גולן,292,71,מועצה אזורית גולן,,1,111,111,111,,,2022,370,,264828781989,662,224,10004579,2024,President Trump Heights,אשכול רשויות גליל מזרחי,5571,גולן,3
רמת השופט,335,RAMAT HASHOFET,2,הצפון,23,יזרעאל,236,13,מועצה אזורית מגידו,,1,"1,129","1,118","1,118",,11,1941,330,15,209100724049,239,254,10004411,2024,Ramat HaShofet,אשכול רשויות הגליל והעמקים,5513,מגידו,3
רמת השרון,2650,RAMAT HASHARON,5,תל אביב,51,תל אביב,511,0,עירייה,121,1,"48,860","47,504","47,456",48,"1,356",1923,160,,185202671833,39,553,10001605,2024,Ramat HaSharon,ללא שיוך לאשכול,2650,רמת השרון,1
רמת יוחנן,178,RAMAT YOHANAN,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,222,1,"1,162","1,137","1,135",2,25,1932,330,15,211748744316,48,301,10004207,2024,Ramat Yohanan,אשכול רשויות המפרץ,5512,זבולון,3
רמת ישי,122,RAMAT YISHAY,2,הצפון,23,יזרעאל,235,99,מועצה מקומית,242,1,"7,953","7,916","7,895",21,37,1925,180,,215807734257,93,257,10004411,2024,Ramat Yishay,אשכול רשויות הגליל והעמקים,122,רמת ישי,2
"רמת כוכב מ""א 7",1828,,2,הצפון,23,יזרעאל,233,7,מועצה אזורית עמק המעיינות,,,,,,,,,530,,2497072050,,,,2024,,אשכול רשויות הכנרת והעמקים,5507,עמק המעיינות,3
"רמת כוכב מ""א 8",1829,,2,הצפון,23,יזרעאל,233,8,מועצה אזורית הגלבוע,,,,,,,,,530,,2427072230,,,,2024,,אשכול רשויות הגליל והעמקים,5508,הגלבוע,3
"רמת כוכב מ""א 9",1830,,2,הצפון,23,יזרעאל,233,9,מועצה אזורית עמק יזרעאל,,,,,,,,,530,,2362072710,,,,2024,,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
"רמת כוכב של""ש",1831,,2,הצפון,23,יזרעאל,233,,חסר מעמד מוניציפלי,,,,,,,,,530,,,,,,2024,,ללא שיוך לאשכול,,,4
רמת מגשימים,4701,RAMAT MAGSHIMIM,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,1,815,790,790,,25,1968,320,2,275955750162,429,224,10004579,2024,Ramat Magshimim,אשכול רשויות גליל מזרחי,5571,גולן,3
"רמת מנשה מ""א 13",1837,,2,הצפון,23,יזרעאל,236,13,מועצה אזורית מגידו,,,,,,,,,530,,2093072110,,,,2024,,אשכול רשויות הגליל והעמקים,5513,מגידו,3
"רמת מנשה של""ש",1838,,2,הצפון,23,יזרעאל,236,,חסר מעמד מוניציפלי,,,,,,,,,530,,,,,,2024,,ללא שיוך לאשכול,,,4
רמת צבי,339,RAMAT ZEVI,2,הצפון,23,יזרעאל,233,8,מועצה אזורית הגלבוע,,1,790,747,742,5,43,1942,310,1,239120721933,54,204,10004394,2024,Ramat Zevi,אשכול רשויות הגליל והעמקים,5508,הגלבוע,3
רמת רזיאל,460,RAMAT RAZI'EL,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,684,683,681,2,1,1948,310,9,207024631242,717,151,15000597,2024,Ramat Razi'el,ללא שיוך לאשכול,5526,מטה יהודה,3
רמת רחל,127,RAMAT RAHEL,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,609,573,573,,36,1926,330,15,220803627437,791,151,15000705,2024,Ramat Rahel,ללא שיוך לאשכול,5526,מטה יהודה,3
רנן,789,RANNEN,6,הדרום,62,באר שבע,622,42,מועצה אזורית מרחבים,344,1,785,688,688,,97,1950,310,1,162053583073,104,651,10001893,2024,Rannen,אשכול רשויות נגב מערבי,5542,מרחבים,3
רעים,713,RE'IM,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,479,444,443,1,35,1949,330,15,148580588423,49,651,10001893,2024,Re'im,אשכול רשויות נגב מערבי,5538,אשכול,3
רעננה,8700,RA'ANNANA,4,המרכז,42,פתח תקווה,421,0,עירייה,131,1,"82,963","81,085","81,016",69,"1,878",1921,150,,187919676951,48,416,10002133,2024,Ra'annana,אשכול רשויות השרון,8700,רעננה,1
רקפת,1228,RAQQEFET,2,הצפון,24,עכו,241,56,מועצה אזורית משגב,241,1,939,937,932,5,2,1981,370,1,225112751129,313,205,10004513,2024,Raqqefet,אשכול רשויות בית הכרם הגלילי,5556,משגב,3
רשפון,247,RISHPON,4,המרכז,41,השרון,411,19,מועצה אזורית חוף השרון,141,1,"1,320","1,262","1,262",,58,1936,310,1,183615678620,26,401,10001605,2024,Rishpon,ללא שיוך לאשכול,5519,חוף השרון,3
רשפים,437,RESHAFIM,2,הצפון,23,יזרעאל,231,7,מועצה אזורית עמק המעיינות,,1,"1,213","1,181","1,181",,32,1948,330,15,245036709591,-114,202,10004568,2024,Reshafim,אשכול רשויות הכנרת והעמקים,5507,עמק המעיינות,3
רתמים,1260,RETAMIM,6,הדרום,62,באר שבע,626,48,מועצה אזורית רמת נגב,,1,817,817,817,,,1983,320,15,170283551490,261,620,15001466,2024,Retamim,אשכול רשויות נגב מזרחי,5548,רמת נגב,3
שאר ישוב,324,SHE'AR YASHUV,2,הצפון,21,צפת,211,55,מועצה אזורית מבואות החרמון,,1,833,821,819,2,12,1940,310,6,260662792420,130,253,10004591,2024,She'ar Yashuv,אשכול רשויות גליל מזרחי,5555,מבואות החרמון,3
שבי דרום,1377,SHAVE DAROM,6,הדרום,62,באר שבע,621,42,מועצה אזורית מרחבים,,1,707,707,707,,,2017,310,,165731597232,143,651,10001930,2024,Shave Darom,אשכול רשויות נגב מערבי,5542,מרחבים,3
שבי ציון,282,SHAVE ZIYYON,2,הצפון,24,עכו,245,4,מועצה אזורית מטה אשר,241,1,"1,321","1,307","1,307",,14,1938,320,10,208203765201,7,201,10004302,2024,Shave Ziyyon,אשכול רשויות גליל מערבי,5504,מטה אשר,3
שבי שומרון,3571,SHAVE SHOMERON,7,אזור יהודה ושומרון,72,שכם,,72,מועצה אזורית שומרון,,1,"1,077","1,076","1,076",,1,1977,370,11,217639685552,335,710,15004488,2024,Shave Shomeron,אשכול יהודה ושומרון,5572,שומרון,3
שבלי - אום אל-גנם,913,SHIBLI-UMM AL-GHANAM,2,הצפון,23,יזרעאל,237,99,מועצה מקומית,,2,"6,476","6,467",8,"6,459",9,,280,,238003732754,178,251,15002472,2024,Shibli-Umm Al-Ghanam,אשכול רשויות הכנרת והעמקים,913,שבלי - אום אל-גנם,2
שגב-שלום,1286,SEGEV-SHALOM,6,הדרום,62,באר שבע,623,99,מועצה מקומית,342,2,"16,736","16,702",14,"16,688",34,,270,,184648567339,318,652,15001466,2024,Segev-Shalom,אשכול רשויות נגב מזרחי,1286,שגב-שלום,2
שדה אילן,721,SEDE ILAN,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,789,771,771,,18,1949,310,2,239970739359,196,206,10004552,2024,Sede Ilan,אשכול רשויות הכנרת והעמקים,5503,הגליל התחתון,3
שדה אליהו,304,SEDE ELIYYAHU,2,הצפון,23,יזרעאל,231,7,מועצה אזורית עמק המעיינות,,1,795,763,763,,32,1939,330,3,248537705199,-191,202,10004568,2024,Sede Eliyyahu,אשכול רשויות הכנרת והעמקים,5507,עמק המעיינות,3
שדה אליעזר,861,SEDE ELI'EZER,2,הצפון,21,צפת,211,55,מועצה אזורית מבואות החרמון,,1,"1,005",980,977,3,25,1952,310,6,252991772306,162,253,10004540,2024,Sede Eli'ezer,אשכול רשויות גליל מזרחי,5555,מבואות החרמון,3
שדה בוקר,885,SEDE BOQER,6,הדרום,62,באר שבע,626,48,מועצה אזורית רמת נגב,,1,555,496,495,1,59,1952,330,15,180126531461,470,620,10001918,2024,Sede Boqer,אשכול רשויות נגב מזרחי,5548,רמת נגב,3
שדה דוד,36,SEDE DAWID,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,,1,796,710,710,,86,1955,310,6,170055609442,93,634,10001813,2024,Sede Dawid,ללא שיוך לאשכול,5550,לכיש,3
שדה ורבורג,284,SEDE WARBURG,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,141,1,"1,318","1,300","1,297",3,18,1938,310,10,191042679373,49,417,10002133,2024,Sede Warburg,אשכול רשויות השרון,5520,דרום השרון,3
שדה יואב,293,SEDE YO'AV,6,הדרום,61,אשקלון,611,35,מועצה אזורית יואב,,1,640,622,622,,18,1956,330,15,169443617089,98,632,10001813,2024,Sede Yo'av,אשכול רשויות שורק דרומי,5535,יואב,3
שדה יעקב,142,SEDE YA'AQOV,2,הצפון,23,יזרעאל,235,9,מועצה אזורית עמק יזרעאל,,1,"1,082","1,046","1,046",,36,1927,310,2,213542733750,64,254,10004411,2024,Sede Ya'aqov,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
שדה יצחק,2008,SEDE YIZHAQ,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,772,610,610,,162,1952,310,1,199601701264,31,351,15002436,2024,Sede Yizhaq,אשכול רשויות מישור החוף,5514,מנשה,3
שדה משה,18,SEDE MOSHE,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,,1,690,612,611,1,78,1956,310,1,181217613291,140,634,10001813,2024,Sede Moshe,ללא שיוך לאשכול,5550,לכיש,3
שדה נחום,259,SEDE NAHUM,2,הצפון,23,יזרעאל,231,7,מועצה אזורית עמק המעיינות,,1,"1,204","1,195","1,194",1,9,1937,330,15,245478714878,-75,202,10004568,2024,Sede Nahum,אשכול רשויות הכנרת והעמקים,5507,עמק המעיינות,3
שדה נחמיה,329,SEDE NEHEMYA,2,הצפון,21,צפת,211,1,מועצה אזורית הגליל העליון,,1,"1,147","1,132","1,129",3,15,1940,330,15,258550788076,77,253,10004591,2024,Sede Nehemya,אשכול רשויות גליל מזרחי,5501,הגליל העליון,3
שדה ניצן,1058,SEDE NIZZAN,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,551,436,430,6,115,1973,310,1,144653571222,135,651,10001893,2024,Sede Nizzan,אשכול רשויות נגב מערבי,5538,אשכול,3
שדה עוזיהו,739,SEDE UZZIYYAHU,6,הדרום,61,אשקלון,611,33,מועצה אזורית באר טוביה,143,1,"1,556","1,408","1,398",10,148,1950,310,6,169556629437,30,616,10001821,2024,Sede Uzziyyahu,אשכול רשויות שורק דרומי,5533,באר טוביה,3
שדה צבי,2049,SEDE ZEVI,6,הדרום,62,באר שבע,621,42,מועצה אזורית מרחבים,,1,794,773,773,,21,1953,310,10,172670595308,202,651,10001930,2024,Sede Zevi,אשכול רשויות נגב מערבי,5542,מרחבים,3
שדות ים,327,SEDOT YAM,3,חיפה,32,חדרה,324,15,מועצה אזורית חוף הכרמל,,1,"1,161","1,142","1,141",1,19,1940,330,15,190166710865,9,303,10004261,2024,Sedot Yam,אשכול רשויות מישור החוף,5515,חוף הכרמל,3
שדות מיכה,27,SEDOT MIKHA,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,,1,348,339,339,,9,1955,310,1,192540625434,219,151,15000597,2024,Sedot Mikha,ללא שיוך לאשכול,5526,מטה יהודה,3
שדי אברהם,1223,SEDE AVRAHAM,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,447,384,384,,63,1981,310,1,136795569201,86,651,10001893,2024,Sede Avraham,אשכול רשויות נגב מערבי,5538,אשכול,3
שדי חמד,2015,SEDE HEMED,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,142,1,"1,042","1,021","1,021",,21,1952,310,1,194812674036,35,417,10002133,2024,Sede Hemed,אשכול רשויות השרון,5520,דרום השרון,3
שדי תרומות,2057,SEDE TERUMOT,2,הצפון,23,יזרעאל,231,7,מועצה אזורית עמק המעיינות,,1,638,586,586,,52,1951,310,2,245923705201,-128,202,10004568,2024,Sede Terumot,אשכול רשויות הכנרת והעמקים,5507,עמק המעיינות,3
שדמה,555,SHEDEMA,4,המרכז,44,רחובות,441,32,מועצה אזורית גדרות,143,1,481,461,461,,20,1954,310,10,175623637788,48,456,15002488,2024,Shedema,ללא שיוך לאשכול,5532,גדרות,3
שדמות דבורה,306,SHADMOT DEVORA,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,820,772,768,4,48,1939,310,1,241174733556,146,206,10004552,2024,Shadmot Devora,אשכול רשויות הכנרת והעמקים,5503,הגליל התחתון,3
שדמות מחולה,3578,SHADMOT MEHOLA,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75,מועצה אזורית ערבות הירדן,,1,771,753,753,,18,1979,320,2,250441694843,-190,712,10003299,2024,Shadmot Mehola,אשכול יהודה ושומרון,5575,ערבות הירדן,3
שדרות,1031,SEDEROT,6,הדרום,61,אשקלון,614,0,עירייה,,1,"37,239","36,061","35,788",273,"1,178",1951,160,,161512604254,83,611,10001829,2024,Sederot,אשכול רשויות נגב מערבי,1031,שדרות,1
שואבה,741,SHO'EVA,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,579,570,570,,9,1950,310,10,207485633954,618,151,15000597,2024,Sho'eva,ללא שיוך לאשכול,5526,מטה יהודה,3
שובה,761,SHUVA,6,הדרום,62,באר שבע,621,39,מועצה אזורית שדות נגב,,1,"1,129",970,970,,159,1950,310,2,156692595710,108,651,10001930,2024,Shuva,אשכול רשויות נגב מערבי,5539,שדות נגב,3
שובל,394,SHOVAL,6,הדרום,62,באר שבע,621,41,מועצה אזורית בני שמעון,341,1,"1,052","1,032","1,032",,20,1946,330,15,175658591487,203,625,10001946,2024,Shoval,אשכול רשויות נגב מערבי,5541,בני שמעון,3
שוהם,1304,SHOHAM,4,המרכז,43,רמלה,432,99,מועצה מקומית,142,1,"23,592","23,364","23,342",22,228,1993,160,,194960656088,96,421,10002168,2024,Shoham,ללא שיוך לאשכול,1304,שוהם,2
שומרה,614,SHOMERA,2,הצפון,24,עכו,244,52,מועצה אזורית מעלה יוסף,,1,428,396,393,3,32,1949,310,1,226864776436,551,255,10004302,2024,Shomera,אשכול רשויות גליל מערבי,5552,מעלה יוסף,3
שומרייה,1265,SHOMERIYYA,6,הדרום,62,באר שבע,623,41,מועצה אזורית בני שמעון,341,1,943,911,911,,32,1984,330,15,188965593404,378,625,10001937,2024,Shomeriyya,אשכול רשויות נגב מערבי,5541,בני שמעון,3
שוקדה,415,SHOQEDA,6,הדרום,62,באר שבע,621,39,מועצה אזורית שדות נגב,,1,769,758,758,,11,1957,310,2,154825592428,82,651,10001930,2024,Shoqeda,אשכול רשויות נגב מערבי,5539,שדות נגב,3
שורש,456,SHORESH,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,"1,400","1,282","1,274",8,118,1948,320,6,206276633845,677,151,15000597,2024,Shoresh,ללא שיוך לאשכול,5526,מטה יהודה,3
שורשים,1235,SHORASHIM,2,הצפון,24,עכו,242,56,מועצה אזורית משגב,241,1,622,621,621,,1,1985,320,1,224614755365,135,205,10004513,2024,Shorashim,אשכול רשויות בית הכרם הגלילי,5556,משגב,3
שושנת העמקים,224,SHOSHANNAT HAAMAQIM,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,445,444,444,,1,1951,350,,186751695641,19,409,10002089,2024,Shoshannat HaAmaqim,ללא שיוך לאשכול,5516,עמק חפר,3
שזור,527,SHEZOR,2,הצפון,24,עכו,242,2,מועצה אזורית מרום הגליל,,1,375,367,366,1,8,1953,310,1,233325759813,282,209,10004465,2024,Shezor,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
שחר,7,SHAHAR,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,,1,889,726,724,2,163,1955,310,1,174014614251,100,634,10001813,2024,Shahar,ללא שיוך לאשכול,5550,לכיש,3
שחרות,1266,SHAHARUT,6,הדרום,62,באר שבע,627,53,מועצה אזורית חבל אילות,,1,157,157,157,,,1985,370,13,199709423990,532,608,10001955,2024,Shaharut,אשכול רשויות נגב מזרחי,5553,חבל אילות,3
שחרית,3868,SHAHARIT,7,אזור יהודה ושומרון,73,טול כרם,,72,מועצה אזורית שומרון,,,,,,,,,510,,207163666129,419,710,15004488,2024,Shaharit,אשכול יהודה ושומרון,5572,שומרון,3
שיבולים,865,SHIBBOLIM,6,הדרום,62,באר שבע,621,39,מועצה אזורית שדות נגב,,1,431,422,422,,9,1952,310,2,162689589467,130,651,10001930,2024,Shibbolim,אשכול רשויות נגב מערבי,5539,שדות נגב,3
שיזף,1378,SHEZAF,6,הדרום,62,באר שבע,626,48,מועצה אזורית רמת נגב,,1,137,137,137,,,2021,370,,177508545761,349,620,15001466,2024,Shezaf,אשכול רשויות נגב מזרחי,5548,רמת נגב,3
